date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:17:48	5254/5254	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264d39a40-24a3%22	https://erane.github.io/robots.txt		(from )
19:17:48	48975/48975	---M-Z	200	added ('OK')	text/html	etag:W/%22688c1f72-bf4f%22	https://erane.github.io/	D:/chrome/jiuguanabout/ephone/erane.github.io/index.html	(from )
19:17:49	138/138	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2001%20Aug%202025%2011:18:00%20GMT	https://i.postimg.cc/kGYP6CQw/6.png	D:/chrome/jiuguanabout/ephone/i.postimg.cc/kGYP6CQw/6.0.delayed	(from https://erane.github.io/)
19:17:49	102025/102025	---M-Z	200	added ('OK')	text/css	etag:%226421d693-547f%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.0/css/all.min.css	D:/chrome/jiuguanabout/ephone/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.0/css/all.min.css	(from https://erane.github.io/)
19:17:50	40997/40997	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2029%20Apr%202025%2017:18:11%20GMT	https://unpkg.com/axios@1.6.7/dist/axios.min.js	D:/chrome/jiuguanabout/ephone/unpkg.com/axios@1.6.7/dist/axios.min.js	(from https://erane.github.io/)
19:17:50	42/42	---M--	302	error ('Found')	text/plain	date:Fri,%2001%20Aug%202025%2011:18:02%20GMT	https://unpkg.com/dexie/dist/dexie.js	D:/chrome/jiuguanabout/ephone/unpkg.com/dexie/dist/dexie.3.delayed	(from https://erane.github.io/)
19:17:51	268608/268608	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2020%20May%202025%2007:32:37%20GMT	https://unpkg.com/dexie@4.0.11/dist/dexie.js	D:/chrome/jiuguanabout/ephone/unpkg.com/dexie@4.0.11/dist/dexie.js	(from https://erane.github.io/)
19:17:51	39098/39098	---M-Z	200	added ('OK')	text/css	etag:W/%22688c1f72-98ba%22	https://erane.github.io/baseStyle.css	D:/chrome/jiuguanabout/ephone/erane.github.io/baseStyle.css	(from https://erane.github.io/)
19:17:51	5584/5584	---M-Z	200	added ('OK')	text/css	etag:W/%22688c1f72-15d0%22	https://erane.github.io/resources/moment.css	D:/chrome/jiuguanabout/ephone/erane.github.io/resources/moment.css	(from https://erane.github.io/)
19:17:51	20125/20125	---M-Z	200	added ('OK')	text/css	etag:W/%22688c1f72-4e9d%22	https://erane.github.io/beautifyStyle.css	D:/chrome/jiuguanabout/ephone/erane.github.io/beautifyStyle.css	(from https://erane.github.io/)
19:17:52	29901/29901	---M-Z	200	added ('OK')	application/javascript	etag:39929d416daffe6e5caf49d23b880cf9	https://hm.baidu.com/hm.js?95a870260e9246d70af33963cc4ded39	D:/chrome/jiuguanabout/ephone/hm.baidu.com/hm0602.js	(from https://erane.github.io/)
19:17:52	138/138	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2001%20Aug%202025%2011:18:03%20GMT	https://i.postimg.cc/htP74QkL/1.jpg	D:/chrome/jiuguanabout/ephone/i.postimg.cc/htP74QkL/1.jpg	(from https://erane.github.io/)
19:17:52	138/138	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2001%20Aug%202025%2011:18:03%20GMT	https://i.postimg.cc/MKfTfsmq/1.png	D:/chrome/jiuguanabout/ephone/i.postimg.cc/MKfTfsmq/1.png	(from https://erane.github.io/)
19:17:53	138/138	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2001%20Aug%202025%2011:18:04%20GMT	https://i.postimg.cc/yNL7tkqC/image.png	D:/chrome/jiuguanabout/ephone/i.postimg.cc/yNL7tkqC/image.png	(from https://erane.github.io/)
19:17:53	138/138	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2001%20Aug%202025%2011:18:04%20GMT	https://i.postimg.cc/gr2ndvPL/QQ.jpg	D:/chrome/jiuguanabout/ephone/i.postimg.cc/gr2ndvPL/QQ.jpg	(from https://erane.github.io/)
19:17:53	138/138	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2001%20Aug%202025%2011:18:04%20GMT	https://i.postimg.cc/wy631NyP/settings.jpg	D:/chrome/jiuguanabout/ephone/i.postimg.cc/wy631NyP/settings.jpg	(from https://erane.github.io/)
19:17:53	138/138	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2001%20Aug%202025%2011:18:04%20GMT	https://i.postimg.cc/q6qRLdGx/photo.jpg	D:/chrome/jiuguanabout/ephone/i.postimg.cc/q6qRLdGx/photo.jpg	(from https://erane.github.io/)
19:17:54	138/138	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2001%20Aug%202025%2011:18:05%20GMT	https://i.postimg.cc/V60TWbGr/image.png	D:/chrome/jiuguanabout/ephone/i.postimg.cc/V60TWbGr/image.png	(from https://erane.github.io/)
19:17:54	138/138	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2001%20Aug%202025%2011:18:05%20GMT	https://i.postimg.cc/8kYShvrJ/90-UI-2.png	D:/chrome/jiuguanabout/ephone/i.postimg.cc/8kYShvrJ/90-UI-2.png	(from https://erane.github.io/)
19:17:54	138/138	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2001%20Aug%202025%2011:18:05%20GMT	https://i.postimg.cc/wRDhh491/image.png	D:/chrome/jiuguanabout/ephone/i.postimg.cc/wRDhh491/image.png	(from https://erane.github.io/)
19:17:55	138/138	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2001%20Aug%202025%2011:18:06%20GMT	https://i.postimg.cc/qzdckrGy/image.png	D:/chrome/jiuguanabout/ephone/i.postimg.cc/qzdckrGy/image.png	(from https://erane.github.io/)
19:17:55	138/138	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2001%20Aug%202025%2011:18:06%20GMT	https://i.postimg.cc/VkQfgzGJ/1.jpg	D:/chrome/jiuguanabout/ephone/i.postimg.cc/VkQfgzGJ/1.jpg	(from https://erane.github.io/)
19:17:56	218062/218062	---M-Z	200	added ('OK')	application/javascript	etag:W/%22688c1f72-353ce%22	https://erane.github.io/script.js	D:/chrome/jiuguanabout/ephone/erane.github.io/script.js	(from https://erane.github.io/)
19:17:56	4828/4828	---M-Z	200	added ('OK')	application/javascript	etag:W/%22688c1f72-12dc%22	https://erane.github.io/js/pollinationsAI.js	D:/chrome/jiuguanabout/ephone/erane.github.io/js/pollinationsAI.js	(from https://erane.github.io/)
19:17:56	138/138	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2001%20Aug%202025%2011:18:07%20GMT	https://i.postimg.cc/R0R4nGvB/image.png	D:/chrome/jiuguanabout/ephone/i.postimg.cc/R0R4nGvB/image.png	(from https://erane.github.io/baseStyle.css)
